state,x,y
acre,-300.8,116.8
alagoas,279.5,99.2
amazonas,-152.7,223.7
amapá,12.2,307.7
bahia,233.2,38.2
ceará,232.7,211.7
distrito federal,77.3,-15.6
espírito santo,202.7,-78.6
goiás,53.2,-30.8
maranhão,136.7,233.4
mato grosso,-48.7,44.2
mato grosso do sul,-34.0,-103.3
minas gerais,135.3,-58.1
pará,3.5,177.6
paraíba,282.5,148.9
paraná,15.8,-185.4
pernambuco,290.5,126.0
piauí,147.0,126.0
rio de janeiro,155.8,-147.0
rio grande do norte,266.3,183.4
rondônia,-171.7,70.9
rio grande do sul,21.3,-281.4
roraima,-145.3,316.7
santa catarina,51.0,-231.2
sergipe,257.2,76.9
são paulo,97.7,-160.3
tocantins,70.8,89.1
